sample_id,timestamp,orp_mV,ec_uScm,tds_mgL,turbidity_NTU,temp_C,pH,do_mgL,class
112,2026-01-01 09:15:00,370.26,175.15,83.29,5.85,25.49,6.99,8.01,Normal
185,2026-01-01 15:20:00,255.44,80.07,38.96,15.23,27.43,8.49,6.91,Normal
1165,2026-01-05 01:00:00,403.02,23.08,10.23,29.9,30.45,8.89,9.29,Caution
1353,2026-01-05 16:40:00,39.49,1324.76,714.19,69.23,32.65,9.26,10.83,Warning
97,2026-01-01 08:00:00,363.34,328.6,192.8,4.91,29.25,7.68,5.02,Normal
1449,2026-01-06 00:40:00,-16.66,1953.94,1070.26,98.31,20.8,9.4,2.76,Warning
1182,2026-01-05 02:25:00,470.66,527.36,295.4,44.98,24.61,6.32,4.21,Caution
1814,2026-01-07 07:05:00,-201.35,5.1,7.89,583.31,19.61,10.01,1.67,Severe
421,2026-01-02 11:00:00,263.73,479.42,303.75,7.88,25.05,7.35,8.66,Normal
2123,2026-01-08 08:50:00,895.67,3862.46,2016.45,422.91,18.47,4.69,14.11,Severe
2005,2026-01-07 23:00:00,700.81,2999.42,1519.95,302.09,36.1,10.43,14.42,Severe
810,2026-01-03 19:25:00,430.9,987.38,604.56,31.04,30.34,6.25,4.26,Caution
1452,2026-01-06 00:55:00,576.84,13.23,7.27,89.3,22.17,5.57,2.65,Warning
631,2026-01-03 04:30:00,190.3,185.92,117.14,4.48,25.28,7.71,5.67,Normal
706,2026-01-03 10:45:00,465.34,36.48,21.4,27.41,31.34,6.26,9.3,Caution
1176,2026-01-05 01:55:00,424.98,49.68,28.89,46.72,23.93,8.87,4.62,Caution
1651,2026-01-06 17:30:00,-0.51,1490.45,1000.45,51.28,32.79,5.79,11.17,Warning
1147,2026-01-04 23:30:00,69.7,987.07,592.14,26.29,30.13,8.7,4.43,Caution
813,2026-01-03 19:40:00,490.91,25.27,15.15,39.41,30.58,6.24,9.36,Caution
1905,2026-01-07 14:40:00,857.23,2814.96,1372.97,323.6,37.72,10.41,13.23,Severe
681,2026-01-03 08:40:00,419.41,574.02,300.58,25.47,23.49,6.47,9.16,Caution
565,2026-01-02 23:00:00,313.49,266.67,127.62,13.08,28.85,7.6,6.27,Normal
1655,2026-01-06 17:50:00,555.15,14.34,5.06,137.81,32.64,9.39,3.21,Warning
2087,2026-01-08 05:50:00,-158.0,2879.74,1710.91,548.09,36.63,4.9,0.83,Severe
383,2026-01-02 07:50:00,367.27,458.06,271.81,9.1,29.08,8.43,7.89,Normal
71,2026-01-01 05:50:00,164.53,214.97,113.22,13.95,28.35,7.8,8.05,Normal
1358,2026-01-05 17:05:00,27.26,1539.92,892.69,103.61,33.61,5.65,11.38,Warning
362,2026-01-02 06:05:00,399.27,220.61,144.88,16.57,29.66,7.27,5.6,Normal
322,2026-01-02 02:45:00,359.05,84.53,36.25,5.67,29.63,6.74,5.1,Normal
1342,2026-01-05 15:45:00,527.05,15.59,7.34,87.54,20.03,5.58,11.31,Warning
1524,2026-01-06 06:55:00,593.25,1730.54,1102.56,129.39,21.01,5.58,11.41,Warning
1256,2026-01-05 08:35:00,147.85,29.6,17.82,41.78,31.64,6.25,9.3,Caution
520,2026-01-02 19:15:00,398.92,182.78,108.1,19.94,29.81,7.42,7.83,Normal
583,2026-01-03 00:30:00,177.84,109.57,63.98,2.86,28.3,7.06,5.57,Normal
2146,2026-01-08 10:45:00,-87.73,4.35,3.47,448.58,34.87,10.0,1.82,Severe
484,2026-01-02 16:15:00,328.22,258.63,109.83,24.39,28.59,7.34,8.66,Normal
1870,2026-01-07 11:45:00,807.58,3032.21,1611.89,329.04,17.1,9.73,13.48,Severe
1333,2026-01-05 15:00:00,575.59,1018.2,527.44,104.45,20.34,5.93,3.43,Warning
544,2026-01-02 21:15:00,336.18,103.16,56.18,12.41,28.3,7.58,8.92,Normal
1018,2026-01-04 12:45:00,485.12,804.6,481.86,49.0,23.31,6.22,9.57,Caution
101,2026-01-01 08:20:00,193.24,278.28,125.01,24.8,25.72,6.75,7.77,Normal
1763,2026-01-07 02:50:00,637.33,1312.31,681.93,138.58,21.42,9.08,2.35,Warning
325,2026-01-02 03:00:00,303.55,154.65,79.91,16.99,25.16,8.01,5.58,Normal
1821,2026-01-07 07:40:00,797.2,8.63,2.39,154.84,34.71,9.97,15.18,Severe
231,2026-01-01 19:10:00,376.45,275.09,159.8,19.15,28.8,7.32,5.92,Normal
589,2026-01-03 01:00:00,167.54,201.47,111.07,20.3,26.34,7.59,7.45,Normal
1612,2026-01-06 14:15:00,44.14,13.27,10.6,123.89,32.6,9.28,3.75,Warning
1608,2026-01-06 13:55:00,626.43,16.83,3.35,50.39,32.2,9.16,3.15,Warning
1958,2026-01-07 19:05:00,773.4,6.56,11.66,285.13,17.94,9.59,14.56,Severe
614,2026-01-03 03:05:00,235.34,147.25,84.53,12.64,29.4,7.05,6.9,Normal
248,2026-01-01 20:35:00,323.23,494.29,223.73,4.61,29.63,7.74,6.03,Normal
1979,2026-01-07 20:50:00,658.67,2711.52,1677.31,333.68,36.28,10.26,15.82,Severe
1832,2026-01-07 08:35:00,651.43,1.18,7.73,590.28,16.23,9.95,1.7,Severe
1303,2026-01-05 12:30:00,89.13,599.61,406.89,48.69,24.44,8.69,9.34,Caution
1430,2026-01-05 23:05:00,6.9,11.35,15.38,129.61,32.74,5.71,11.07,Warning
2077,2026-01-08 05:00:00,-234.72,4252.01,1830.53,469.95,37.78,5.19,15.1,Severe
1235,2026-01-05 06:50:00,91.62,31.17,12.88,37.82,30.33,8.79,4.61,Caution
841,2026-01-03 22:00:00,461.09,524.43,344.11,36.21,31.07,8.8,9.85,Caution
1685,2026-01-06 20:20:00,44.38,1365.77,928.15,69.93,22.61,9.36,10.35,Warning
1847,2026-01-07 09:50:00,-144.3,3915.4,1813.7,253.08,37.68,9.86,12.36,Severe
1576,2026-01-06 11:15:00,615.54,18.75,12.95,108.02,32.29,9.42,10.36,Warning
1512,2026-01-06 05:55:00,629.49,1336.34,723.95,95.97,33.06,9.36,11.16,Warning
772,2026-01-03 16:15:00,52.64,35.39,26.42,27.09,30.68,8.52,5.0,Caution
553,2026-01-02 22:00:00,357.18,156.33,80.54,8.11,27.88,7.24,7.27,Normal
68,2026-01-01 05:35:00,397.58,113.72,67.38,11.76,27.78,8.48,8.36,Normal
1246,2026-01-05 07:45:00,55.5,45.83,34.98,25.39,30.46,8.99,4.57,Caution
480,2026-01-02 15:55:00,256.0,174.96,98.26,9.8,26.18,7.91,6.13,Normal
1158,2026-01-05 00:25:00,480.22,33.65,15.15,30.69,31.62,6.29,4.62,Caution
1466,2026-01-06 02:05:00,626.01,17.38,8.04,128.89,20.69,9.21,2.08,Warning
197,2026-01-01 16:20:00,348.25,431.53,267.27,24.88,25.54,8.17,5.9,Normal
1738,2026-01-07 00:45:00,529.31,17.86,14.33,143.57,22.6,5.79,2.85,Warning
1088,2026-01-04 18:35:00,465.91,38.38,23.76,37.96,30.32,8.85,4.11,Caution
1334,2026-01-05 15:05:00,600.05,16.06,9.34,131.01,20.68,5.82,2.96,Warning
1285,2026-01-05 11:00:00,459.6,817.73,471.98,47.18,24.43,8.87,4.79,Caution
979,2026-01-04 09:30:00,53.55,41.56,17.9,28.28,23.84,8.74,9.04,Caution
530,2026-01-02 20:05:00,196.69,288.84,136.69,21.31,26.7,8.1,5.6,Normal
863,2026-01-03 23:50:00,76.43,580.36,362.61,25.54,31.54,6.28,4.79,Caution
291,2026-01-02 00:10:00,244.18,422.04,229.14,4.33,27.49,7.65,7.32,Normal
907,2026-01-04 03:30:00,461.39,21.76,19.83,45.94,30.57,8.71,4.66,Caution
1619,2026-01-06 14:50:00,-15.58,14.79,14.97,142.36,22.1,9.47,3.81,Warning
949,2026-01-04 07:00:00,444.77,21.83,13.03,38.5,31.13,6.21,4.43,Caution
533,2026-01-02 20:20:00,251.19,435.53,257.65,7.94,26.06,8.22,5.17,Normal
1537,2026-01-06 08:00:00,28.85,17.31,6.81,78.61,20.97,9.39,3.31,Warning
922,2026-01-04 04:45:00,110.22,647.96,443.66,31.5,23.52,8.85,4.84,Caution
129,2026-01-01 10:40:00,329.95,279.02,148.63,22.77,27.02,7.98,7.25,Normal
1069,2026-01-04 17:00:00,135.68,32.77,18.88,26.2,24.6,6.42,4.67,Caution
528,2026-01-02 19:55:00,246.08,440.67,252.7,13.89,25.34,8.05,5.69,Normal
411,2026-01-02 10:10:00,269.81,61.92,31.5,23.62,28.78,8.43,6.99,Normal
1630,2026-01-06 15:45:00,11.23,1918.74,1230.79,106.5,22.89,9.12,2.12,Warning
2138,2026-01-08 10:05:00,821.89,1.04,2.73,474.52,19.02,4.74,1.8,Severe
52,2026-01-01 04:15:00,210.21,114.36,54.03,19.64,29.49,6.68,5.12,Normal
1548,2026-01-06 08:55:00,47.14,1656.63,777.94,108.86,22.5,9.35,2.92,Warning
1767,2026-01-07 03:10:00,528.75,15.08,3.53,69.14,33.13,9.1,2.25,Warning
1232,2026-01-05 06:35:00,56.27,532.74,256.71,47.45,23.87,8.91,4.13,Caution
495,2026-01-02 17:10:00,186.25,284.85,139.57,5.73,25.72,7.36,8.82,Normal
2038,2026-01-08 01:45:00,837.53,4706.9,2164.68,273.61,34.73,9.89,12.8,Severe
1961,2026-01-07 19:20:00,-134.7,3.96,1.28,407.25,17.24,5.22,1.76,Severe
611,2026-01-03 02:50:00,274.71,179.82,104.73,5.32,29.44,7.51,8.17,Normal
1114,2026-01-04 20:45:00,448.36,45.34,24.12,38.92,30.77,6.48,4.88,Caution
483,2026-01-02 16:10:00,399.76,235.54,148.42,1.05,25.56,6.91,5.48,Normal
1575,2026-01-06 11:10:00,596.3,1825.3,889.13,136.13,32.05,5.8,3.86,Warning
1472,2026-01-06 02:35:00,-15.54,13.91,0.02,105.91,32.34,9.44,3.51,Warning
232,2026-01-01 19:15:00,215.72,312.1,205.28,24.84,26.43,6.95,6.0,Normal
255,2026-01-01 21:10:00,382.29,491.45,269.15,2.02,28.94,7.07,7.53,Normal
333,2026-01-02 03:40:00,303.57,251.27,133.38,10.57,27.87,6.64,6.87,Normal
1753,2026-01-07 02:00:00,559.02,17.64,7.98,52.39,32.11,5.77,3.59,Warning
1490,2026-01-06 04:05:00,-0.3,11.88,4.48,99.46,32.67,5.69,10.02,Warning
1815,2026-01-07 07:10:00,-231.75,2635.9,1463.04,415.31,18.24,10.15,1.68,Severe
189,2026-01-01 15:40:00,306.71,386.27,211.07,22.47,25.66,7.99,5.79,Normal
1456,2026-01-06 01:15:00,502.76,1905.09,1032.17,111.57,22.98,9.37,10.92,Warning
415,2026-01-02 10:30:00,386.04,173.74,94.84,1.63,27.53,8.2,5.89,Normal
1217,2026-01-05 05:20:00,138.72,761.67,396.52,44.22,30.16,8.66,4.09,Caution
234,2026-01-01 19:25:00,349.61,171.11,98.62,8.7,29.93,8.47,8.62,Normal
1183,2026-01-05 02:30:00,463.08,40.24,20.71,37.33,24.45,6.3,9.27,Caution
1786,2026-01-07 04:45:00,15.41,11.53,5.92,71.09,33.81,5.62,3.77,Warning
1051,2026-01-04 15:30:00,73.56,810.44,386.31,38.9,30.55,6.01,4.98,Caution
1134,2026-01-04 22:25:00,51.82,976.12,595.41,34.79,24.43,8.96,4.77,Caution
651,2026-01-03 06:10:00,130.4,46.27,23.12,40.05,23.96,8.91,9.26,Caution
1643,2026-01-06 16:50:00,592.93,19.1,15.94,143.53,33.51,5.94,10.03,Warning
1840,2026-01-07 09:15:00,-134.04,3.7,5.64,180.33,34.92,4.92,15.21,Severe
1710,2026-01-06 22:25:00,583.7,1490.49,773.11,79.94,22.69,5.77,10.56,Warning
1226,2026-01-05 06:05:00,458.62,36.83,23.83,29.4,30.02,8.63,9.23,Caution
2085,2026-01-08 05:40:00,736.61,2193.87,1023.6,190.82,34.28,4.75,1.24,Severe
1838,2026-01-07 09:05:00,-94.36,4.28,0.02,548.97,37.78,9.96,0.88,Severe
966,2026-01-04 08:25:00,144.37,901.25,585.09,35.01,31.39,6.45,4.79,Caution
874,2026-01-04 00:45:00,139.73,992.82,470.62,44.47,24.97,8.8,9.51,Caution
2050,2026-01-08 02:45:00,779.3,3925.6,2399.05,347.12,15.89,10.21,1.28,Severe
875,2026-01-04 00:50:00,440.32,646.89,394.8,42.12,31.48,8.88,4.42,Caution
679,2026-01-03 08:30:00,112.17,727.4,350.41,32.2,31.1,6.3,9.97,Caution
121,2026-01-01 10:00:00,190.89,299.49,155.57,5.99,27.41,8.4,8.81,Normal
708,2026-01-03 10:55:00,404.33,44.62,28.65,39.54,31.73,6.39,9.02,Caution
1554,2026-01-06 09:25:00,-27.46,1204.56,571.52,130.36,21.13,9.02,3.07,Warning
368,2026-01-02 06:35:00,344.17,116.58,60.45,22.92,29.38,8.42,5.61,Normal
57,2026-01-01 04:40:00,195.88,491.01,296.1,12.01,25.87,7.92,5.37,Normal
556,2026-01-02 22:15:00,255.23,236.64,154.13,8.85,25.22,7.67,8.3,Normal
1056,2026-01-04 15:55:00,80.52,24.12,13.24,47.91,24.87,8.9,4.88,Caution
1834,2026-01-07 08:45:00,-147.83,3864.27,2044.54,453.36,19.77,5.34,13.9,Severe
1959,2026-01-07 19:10:00,777.12,2593.95,1619.43,155.97,36.64,4.96,15.34,Severe
2071,2026-01-08 04:30:00,846.65,6.12,7.91,259.88,19.56,4.64,1.43,Severe
1076,2026-01-04 17:35:00,110.72,48.2,30.85,32.46,24.61,8.69,9.24,Caution
1387,2026-01-05 19:30:00,572.4,1577.42,845.9,108.52,32.77,5.77,3.57,Warning
1646,2026-01-06 17:05:00,-8.33,1539.23,882.87,67.06,33.32,9.12,3.85,Warning
991,2026-01-04 10:30:00,89.01,39.44,24.36,43.28,31.11,8.53,9.57,Caution
212,2026-01-01 17:35:00,197.13,407.85,243.46,24.06,28.39,7.97,7.09,Normal
276,2026-01-01 22:55:00,263.84,442.64,291.88,12.58,25.52,6.81,9.0,Normal
1695,2026-01-06 21:10:00,539.73,1534.86,846.36,57.19,33.76,9.27,10.03,Warning
1470,2026-01-06 02:25:00,-32.81,12.72,11.11,128.06,22.69,9.21,11.05,Warning
1160,2026-01-05 00:35:00,437.83,651.01,409.94,41.93,31.76,6.1,4.14,Caution
427,2026-01-02 11:30:00,171.59,445.31,266.39,23.18,25.77,7.31,7.11,Normal
1132,2026-01-04 22:15:00,452.6,611.98,301.22,39.51,24.95,6.17,9.42,Caution
1980,2026-01-07 20:55:00,-245.71,5.77,0.0,471.99,18.89,10.34,14.4,Severe
2052,2026-01-08 02:55:00,-130.45,4.74,5.71,436.9,37.98,9.64,12.16,Severe
1875,2026-01-07 12:10:00,-233.36,2837.26,1874.45,513.0,18.17,9.82,15.83,Severe
866,2026-01-04 00:05:00,405.92,30.55,9.6,36.55,24.34,8.76,9.36,Caution
45,2026-01-01 03:40:00,349.81,271.47,175.93,15.39,27.61,7.43,8.06,Normal
462,2026-01-02 14:25:00,232.82,351.54,217.21,11.54,25.3,7.87,5.61,Normal
1284,2026-01-05 10:55:00,469.88,866.04,398.17,43.79,31.97,8.9,9.44,Caution
901,2026-01-04 03:00:00,120.61,36.06,15.46,47.77,30.72,8.53,9.22,Caution
535,2026-01-02 20:30:00,168.73,315.45,157.03,20.43,25.42,7.71,5.26,Normal
472,2026-01-02 15:15:00,390.06,107.55,59.51,9.38,27.62,6.95,8.71,Normal
1653,2026-01-06 17:40:00,648.2,1807.29,800.31,132.54,22.15,5.96,10.86,Warning
410,2026-01-02 10:05:00,238.19,374.21,212.68,14.9,25.45,7.34,6.73,Normal
260,2026-01-01 21:35:00,195.33,353.67,188.94,7.32,26.0,7.28,7.72,Normal
1468,2026-01-06 02:15:00,585.52,19.13,23.68,81.66,32.54,5.75,2.72,Warning
1107,2026-01-04 20:10:00,123.61,46.51,26.75,37.1,23.35,8.92,9.39,Caution
1533,2026-01-06 07:40:00,590.07,1064.83,594.77,105.41,33.56,9.48,11.95,Warning
1582,2026-01-06 11:45:00,31.86,1879.63,908.33,61.38,33.72,5.76,11.74,Warning
70,2026-01-01 05:45:00,273.32,87.85,55.59,6.85,27.45,7.08,7.35,Normal
619,2026-01-03 03:30:00,152.31,216.7,95.18,8.64,26.22,7.47,5.94,Normal
1164,2026-01-05 00:55:00,475.93,728.0,322.84,36.95,30.67,8.91,4.27,Caution
355,2026-01-02 05:30:00,208.14,78.89,41.16,19.42,26.05,6.99,7.35,Normal
290,2026-01-02 00:05:00,170.07,168.23,92.16,24.66,25.33,6.57,6.61,Normal
441,2026-01-02 12:40:00,188.61,186.61,104.79,22.33,26.14,8.09,7.37,Normal
2131,2026-01-08 09:30:00,-106.32,3648.4,2362.14,552.01,15.83,4.61,12.32,Severe
1743,2026-01-07 01:10:00,583.35,1515.77,866.75,84.25,20.31,9.29,3.29,Warning
580,2026-01-03 00:15:00,181.56,106.0,66.83,11.0,29.22,7.43,8.21,Normal
1726,2026-01-06 23:45:00,608.19,1704.01,1111.31,65.02,22.71,5.58,10.11,Warning
953,2026-01-04 07:20:00,476.31,710.23,458.61,44.97,30.05,8.5,4.65,Caution
753,2026-01-03 14:40:00,107.9,27.49,17.81,35.92,31.2,8.55,4.85,Caution
282,2026-01-01 23:25:00,257.27,364.24,210.26,24.68,28.97,8.32,5.23,Normal
1660,2026-01-06 18:15:00,49.1,1641.84,761.84,128.23,33.93,5.55,11.31,Warning
536,2026-01-02 20:35:00,267.95,371.24,191.15,24.94,27.67,7.68,7.75,Normal
1412,2026-01-05 21:35:00,13.29,1433.43,877.91,92.7,32.68,5.58,2.4,Warning
299,2026-01-02 00:50:00,397.81,165.93,82.53,5.55,25.05,7.22,7.38,Normal
722,2026-01-03 12:05:00,411.89,37.08,8.89,28.91,31.72,8.79,9.82,Caution
1547,2026-01-06 08:50:00,630.84,10.85,4.63,122.61,20.68,5.96,11.53,Warning
1933,2026-01-07 17:00:00,-66.02,1.88,2.3,439.45,16.79,9.61,15.39,Severe
2045,2026-01-08 02:20:00,898.88,1.83,7.19,210.29,36.23,5.12,15.87,Severe
240,2026-01-01 19:55:00,239.92,150.99,76.3,2.1,26.5,7.49,6.91,Normal
100,2026-01-01 08:15:00,327.02,382.36,250.45,8.61,25.83,6.54,7.9,Normal
1272,2026-01-05 09:55:00,123.7,744.71,352.68,33.51,31.3,6.36,9.18,Caution
1550,2026-01-06 09:05:00,533.82,1722.87,803.3,111.22,32.07,9.27,10.67,Warning
1201,2026-01-05 04:00:00,488.65,684.88,351.98,31.34,23.57,6.37,9.8,Caution
582,2026-01-03 00:25:00,368.72,173.17,90.13,4.78,29.05,7.32,6.36,Normal
1194,2026-01-05 03:25:00,141.28,700.04,365.19,40.2,30.81,8.97,9.55,Caution
1929,2026-01-07 16:40:00,773.42,1.37,1.81,391.6,16.14,10.05,1.7,Severe
1152,2026-01-04 23:55:00,56.54,672.32,334.7,42.93,30.22,8.98,9.51,Caution
1442,2026-01-06 00:05:00,-22.43,16.59,3.47,113.93,22.57,5.71,10.56,Warning
1859,2026-01-07 10:50:00,871.79,9.79,0.0,543.66,35.05,5.12,1.88,Severe
407,2026-01-02 09:50:00,197.19,393.54,196.46,23.84,26.69,7.45,5.91,Normal
2032,2026-01-08 01:15:00,-62.8,2234.13,1147.46,531.87,35.92,5.4,12.54,Severe
125,2026-01-01 10:20:00,220.22,77.93,35.66,12.0,25.01,7.78,8.97,Normal
1761,2026-01-07 02:40:00,512.69,15.9,5.4,72.29,33.57,5.8,3.7,Warning
186,2026-01-01 15:25:00,374.19,264.0,161.66,2.45,29.91,6.6,6.88,Normal
486,2026-01-02 16:25:00,183.37,136.54,80.94,4.44,26.56,7.74,6.6,Normal
66,2026-01-01 05:25:00,398.87,397.45,221.11,8.46,26.82,6.74,8.83,Normal
756,2026-01-03 14:55:00,97.21,674.1,372.61,40.99,30.66,8.64,4.94,Caution
2141,2026-01-08 10:20:00,851.34,4849.02,3092.14,496.49,37.91,4.67,13.05,Severe
687,2026-01-03 09:10:00,67.98,535.56,313.42,27.83,30.12,6.38,9.42,Caution
1356,2026-01-05 16:55:00,15.56,12.33,11.54,107.28,20.92,9.07,10.36,Warning
1703,2026-01-06 21:50:00,521.79,12.59,10.14,110.7,32.99,9.07,3.27,Warning
974,2026-01-04 09:05:00,68.68,34.73,17.19,39.1,30.24,8.97,9.34,Caution
2080,2026-01-08 05:15:00,-61.45,7.36,0.0,374.37,37.71,9.75,2.0,Severe
669,2026-01-03 07:40:00,131.87,48.82,22.4,31.76,23.31,6.47,4.81,Caution
1976,2026-01-07 20:35:00,-172.21,4360.48,2712.36,151.39,36.12,9.87,13.21,Severe
1971,2026-01-07 20:10:00,-86.99,3913.84,2520.4,594.4,35.44,5.35,1.05,Severe
675,2026-01-03 08:10:00,436.25,32.0,14.85,44.65,23.23,8.75,4.87,Caution
2009,2026-01-07 23:20:00,835.11,6.21,0.0,226.17,36.06,10.1,12.33,Severe
943,2026-01-04 06:30:00,447.57,39.2,25.44,27.01,31.4,6.11,4.8,Caution
213,2026-01-01 17:40:00,268.48,493.98,263.05,3.25,26.76,8.47,7.55,Normal
2060,2026-01-08 03:35:00,838.77,7.73,1.1,368.94,34.66,10.06,13.62,Severe
1511,2026-01-06 05:50:00,-32.17,14.83,0.0,145.49,21.27,9.49,10.07,Warning
1592,2026-01-06 12:35:00,611.19,13.67,1.31,100.74,20.44,9.18,10.24,Warning
1948,2026-01-07 18:15:00,-233.89,3031.61,1860.46,593.81,34.87,10.32,0.76,Severe
963,2026-01-04 08:10:00,425.71,20.22,18.69,32.85,30.22,6.12,4.11,Caution
1527,2026-01-06 07:10:00,570.46,1674.72,845.83,135.28,21.35,5.9,2.1,Warning
832,2026-01-03 21:15:00,66.55,37.59,15.64,36.23,24.71,8.9,9.95,Caution
1331,2026-01-05 14:50:00,594.53,1911.42,1095.56,50.26,33.56,9.34,11.9,Warning
1727,2026-01-06 23:50:00,36.58,18.1,4.02,148.12,21.37,5.54,3.56,Warning
211,2026-01-01 17:30:00,295.66,227.8,150.48,19.89,27.51,6.98,7.02,Normal
1037,2026-01-04 14:20:00,477.67,42.21,22.86,32.06,31.88,8.59,4.34,Caution
1559,2026-01-06 09:50:00,-4.86,1942.56,1039.07,102.11,33.74,9.13,10.19,Warning
965,2026-01-04 08:20:00,80.47,46.01,20.41,31.18,24.47,8.84,4.87,Caution
221,2026-01-01 18:20:00,356.81,311.11,178.69,19.59,25.37,8.48,5.53,Normal
1681,2026-01-06 20:00:00,-41.91,1972.22,1123.01,119.4,22.85,5.52,10.79,Warning
